### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Schistosoma	TGC	C	A	0.0	0.330357142857	0.25	0.166666666667	0.333333333333	0.2	0.166666666667	1278.0	-0.274647887324	27.0	0.0
Schistosoma	TGT	C	A	0.0	0.330357142857	0.375	0.166666666667	0.0416666666667	0.8	0.166666666667	1278.0	-0.126516464471	25.0	0.0
Fasciola	TGC	C	A	0.0	0.666666666667	0.5	0.5	0.0	0.0512820512821	0.153846153846	1341.0	1.78260869565	27.0	0.0
Fasciola	TGT	C	A	0.0	0.666666666667	0.333333333333	0.135135135135	0.0810810810811	0.948717948718	0.153846153846	1341.0	-0.0611551528879	25.0	0.0
Lumbricus	TGT	C	A	0.0	0.1875	0.25	0.2	0.4	0.454545454545	0.0909090909091	1525.0	0.381818181818	25.0	0.0
Halocynthia	TGT	C	A	0.0	0.0	0.5	0.238095238095	0.238095238095	1.0	0.238095238095	1418.0	0.485772357724	25.0	0.0
Caenorhabditis	TGT	C	A	0.0	0.024	0.111111111111	0.05	0.2	1.0	0.05	1433.0	-0.406852248394	25.0	0.0
Axinella	TGT	C	A	1.0	0.571428571429	0.25	0.166666666667	0.833333333333	0.857142857143	0.142857142857	1523.0	0.270833333333	25.0	0.0
Terebratulina	TGC	C	A	0.0	0.03	0.166666666667	0.111111111111	0.777777777778	0.75	0.0833333333333	1487.0	0.221698113208	27.0	0.0
Geodia	TGT	C	A	0.0	0.571428571429	0.166666666667	0.142857142857	0.714285714286	0.875	0.125	1524.0	0.0898203592814	25.0	0.0
Balanoglossus	TGC	C	A	0.0	0.666666666667	0.166666666667	0.166666666667	0.833333333333	0.6	0.1	1534.0	0.478873239437	27.0	0.0
Drosophila	TGT	C	A	0.0	0.0311111111111	0.125	0.0909090909091	0.727272727273	1.0	0.0909090909091	1523.0	0.182170542636	25.0	0.0
Ciona	TGT	C	A	0.0	0.0266666666667	0.142857142857	0.0909090909091	0.454545454545	1.0	0.0909090909091	1411.0	0.171206225681	25.0	0.0
Daphnia	TGT	C	A	0.0	0.722222222222	0.2	0.166666666667	0.666666666667	0.545454545455	0.0909090909091	1517.0	0.236486486486	25.0	0.0

### Alignment improvement:
