### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	AAT	N	E	0.0	0.541666666667	0.125	0.0454545454545	0.454545454545	0.916666666667	0.0416666666667	1325.0	-0.0433763188746	1.0	0.0	0.0
Fasciola	AAT	N	E	0.0	0.5625	0.125	0.0740740740741	0.481481481481	0.964285714286	0.0714285714286	1332.0	0.0804597701149	1.0	0.0	0.0
Trichobilharzia_regenti	AAT	N	E	0.0	0.0149127671687	0.142857142857	0.0454545454545	0.409090909091	0.916666666667	0.0416666666667	1324.0	0.00824499411072	1.0	0.0	0.0
Euseius_nicholsi	AAT	N	E	0.0	0.571428571429	0.111111111111	0.0277777777778	0.805555555556	0.878048780488	0.0243902439024	1296.0	-0.101356174161	1.0	0.0	0.0
Haplorchis_taichui	AAC	N	E	0.0	0.136363636364	0.333333333333	0.25	0.5	0.25	0.0625	1320.0	0.935897435897	3.0	0.0	0.001
Echinococcus_equinus	AAT	N	E	0.0	0.0237534666008	0.142857142857	0.0277777777778	0.416666666667	1.0	0.0277777777778	1331.0	-0.085121602289	1.0	0.0	0.0
Tetrancistrum_nebulosi	AAT	N	E	0.0	0.590909090909	0.125	0.0555555555556	0.444444444444	0.9	0.05	1333.0	-0.197142857143	1.0	0.0	0.0
Trichinella	AAT	N	E	0.0	0.752645502646	0.125	0.0588235294118	0.588235294118	0.404761904762	0.047619047619	1343.0	-0.0562310030395	1.0	0.0	0.0
Trichinella	AAC	N	E	0.0	0.752645502646	0.142857142857	0.04	0.64	0.595238095238	0.047619047619	1343.0	-0.50051072523	3.0	0.0	0.0
Benedenia_hoshinai	AAT	N	E	0.0	0.545454545455	0.125	0.0416666666667	0.375	0.96	0.04	1333.0	-0.27408993576	1.0	0.0	0.0
Ciona	AAC	N	E	0.0	0.0675675675676	0.2	0.166666666667	0.666666666667	0.127659574468	0.0212765957447	1348.0	0.350210970464	3.0	0.0	0.0
Strigamia_maritima	AAT	N	E	0.0	0.74358974359	0.142857142857	0.05	0.95	0.512820512821	0.025641025641	1351.0	0.0295629820051	1.0	0.0	0.0
Caenorhabditis	AAT	N	E	0.0	0.538461538462	0.1	0.0294117647059	0.676470588235	0.944444444444	0.0277777777778	1346.0	-0.236902050114	1.0	0.0	0.0
