### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Caenorhabditis	TAC	Y	A	0.0	0.0531914893617	0.142857142857	0.0909090909091	0.363636363636	0.135802469136	0.0123456790123	1865.0	-0.902702702703	19.0	0.0
Schistosoma	TAT	Y	A	0.0	0.62843551797	0.333333333333	0.06	0.36	0.961538461538	0.0576923076923	1800.0	-1.29645417555	17.0	0.0
Fasciola	TAT	Y	A	0.0	0.015829594777	0.181818181818	0.025	0.3875	0.869565217391	0.054347826087	1825.0	-1.25989798397	17.0	0.0
Fasciola	TAC	Y	A	0.0	0.015829594777	0.333333333333	0.25	0.333333333333	0.130434782609	0.054347826087	1825.0	-0.703099510604	19.0	0.0
Dunaliella_salina	TAT	Y	A	0.0	0.666666666667	0.142857142857	0.0227272727273	0.659090909091	0.709677419355	0.0161290322581	1392.0	-1.69946808511	17.0	0.0
Patiria	TAC	Y	A	0.0	0.663793103448	0.0909090909091	0.0212765957447	0.808510638298	0.68115942029	0.0144927536232	1926.0	-1.80572851806	19.0	0.0
Limulus	TAT	Y	A	0.0	0.6875	0.111111111111	0.0212765957447	0.723404255319	0.661971830986	0.0140845070423	1919.0	-1.76508071368	17.0	0.0
Trichinella	TAT	Y	A	0.0	0.122222222222	0.222222222222	0.0526315789474	0.552631578947	0.481012658228	0.0253164556962	1883.0	-1.47511544382	17.0	0.0
Chromochloris_zofingiensis	TAC	Y	A	0.0	0.0714285714286	0.2	0.142857142857	0.714285714286	0.1	0.0142857142857	1522.0	-1.36235955056	19.0	0.0
Ciona	TAC	Y	A	0.0	0.0961538461538	0.111111111111	0.0588235294118	0.529411764706	0.217948717949	0.0128205128205	1891.0	-1.48800959233	19.0	0.0

### Alignment improvement:
