### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction
Caenorhabditis	TAT	Y	R	2.0	0.580673758865	0.181818181818	0.0285714285714	0.6	0.864197530864	0.0246913580247	1865.0	-1.88913649025	17.0	0.0
Schistosoma	TAT	Y	R	0.0	0.525641025641	0.0833333333333	0.01	0.36	0.961538461538	0.00961538461538	1800.0	-2.09145514435	17.0	0.0
Fasciola	TAT	Y	R	0.0	0.555555555556	0.0909090909091	0.0125	0.3875	0.869565217391	0.0108695652174	1825.0	-1.90429924702	17.0	0.0
Lumbricus	TAC	Y	R	0.0	0.0983061101028	0.181818181818	0.0588235294118	0.705882352941	0.478873239437	0.0281690140845	1920.0	-1.78144927536	19.0	0.0
Limulus	TAC	Y	R	0.0	0.196428571429	0.125	0.0416666666667	0.875	0.338028169014	0.0140845070423	1919.0	-1.71980676329	19.0	0.0
Polytoma_uvella	TAC	Y	R	0.0	0.606382978723	0.142857142857	0.0222222222222	0.8	0.789473684211	0.0175438596491	1394.0	-1.94562853415	19.0	0.0
Terebratulina	TAC	Y	R	0.0	0.701923076923	0.0833333333333	0.0232558139535	0.697674418605	0.632352941176	0.0147058823529	1915.0	-1.9356025759	19.0	0.0
Katharina	TAC	Y	R	0.0	0.0049062049062	0.4	0.166666666667	0.625	0.328767123288	0.0547945205479	1917.0	-1.20987654321	19.0	0.0
Chromochloris_zofingiensis	TAT	Y	R	0.0	0.559523809524	0.1	0.015873015873	0.571428571429	0.9	0.0142857142857	1522.0	-2.01675977654	17.0	0.0
Drosophila	TAT	Y	R	0.0	0.578947368421	0.1	0.0161290322581	0.758064516129	0.815789473684	0.0131578947368	1919.0	-1.95540796964	17.0	0.0
Ciona	TAC	Y	R	0.0	0.0961538461538	0.111111111111	0.0588235294118	0.529411764706	0.217948717949	0.0128205128205	1891.0	-1.61510791367	19.0	0.0
Daphnia	TAC	Y	R	0.0	0.649122807018	0.1	0.0217391304348	0.847826086957	0.676470588235	0.0147058823529	1916.0	-1.90642047839	19.0	0.0
Homo	TAT	Y	R	0.0	0.16393442623	0.1	0.0357142857143	0.678571428571	0.363636363636	0.012987012987	1920.0	-1.87714481812	17.0	0.0

### Alignment improvement:
