### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
CgigaA	ATG	M	Q	0.0	0.0318300891234	0.111111111111	0.0181818181818	0.872727272727	1.0	0.0181818181818	2002.0	-0.354532163743	6.0	0.0	0.0
CtropB	ATG	M	Q	2.0	0.0375653294099	0.1	0.015873015873	0.904761904762	1.0	0.015873015873	2250.0	-0.321487877781	6.0	0.0	0.0
CtropA	ATG	M	Q	2.0	0.0375653294099	0.1	0.015873015873	0.904761904762	1.0	0.015873015873	2250.0	-0.321487877781	6.0	0.0	0.0
CviswA	ATG	M	Q	0.0	0.036293774736	0.1	0.0153846153846	0.846153846154	1.0	0.0153846153846	2249.0	-0.409570154096	6.0	0.0	0.0
NbaciA	ATG	M	Q	0.0	0.0228405975628	0.166666666667	0.0188679245283	0.641509433962	1.0	0.0188679245283	1428.0	-0.718897352194	6.0	0.0	0.0
CtetrA	ATG	M	Q	0.0	0.0375653294099	0.1	0.015873015873	0.904761904762	1.0	0.015873015873	2249.0	-0.331122533577	6.0	0.0	0.0
CcastA	ATG	M	Q	0.0	0.0202568743505	0.166666666667	0.0243902439024	0.731707317073	1.0	0.0243902439024	1428.0	-0.540737262268	6.0	0.0	0.0
CsojaA	ATG	M	Q	0.0	0.0273457286528	0.142857142857	0.0232558139535	0.953488372093	1.0	0.0232558139535	1498.0	-0.174334742601	6.0	0.0	0.0
CneerA	ATG	M	Q	0.0	0.0375653294099	0.1	0.015873015873	0.904761904762	1.0	0.015873015873	2249.0	-0.298113837423	6.0	0.0	0.0
HuvarA	ATG	M	Q	0.0	1.1514216764e-06	0.166666666667	0.0555555555556	0.5	1.0	0.0555555555556	1361.0	-0.647516351423	6.0	0.0	0.041
CfrijA	ATG	M	Q	0.0	0.0375653294099	0.1	0.015625	0.890625	1.0	0.015625	2249.0	-0.316944398614	6.0	0.0	0.0
CalbiE	ATG	M	Q	0.0	0.0221953062423	0.2	0.0277777777778	0.916666666667	1.0	0.0277777777778	1183.0	-0.243057392224	6.0	0.0	0.0
CalbiD	ATG	M	Q	0.0	0.0337456232902	0.111111111111	0.0178571428571	0.910714285714	1.0	0.0178571428571	2058.0	-0.262724550898	6.0	0.0	0.0
CalbiC	ATG	M	Q	1.0	0.0375653294099	0.1	0.0161290322581	0.91935483871	1.0	0.0161290322581	2250.0	-0.278885135135	6.0	0.0	0.0
CalbiB	ATG	M	Q	2.0	0.0375653294099	0.1	0.0161290322581	0.91935483871	1.0	0.0161290322581	2250.0	-0.278885135135	6.0	0.0	0.0
CalbiA	ATG	M	Q	0.0	0.0337456232902	0.111111111111	0.0178571428571	0.910714285714	1.0	0.0178571428571	2058.0	-0.262724550898	6.0	0.0	0.0
CsaraA	ATG	M	Q	0.0	0.036293774736	0.1	0.015873015873	0.873015873016	1.0	0.015873015873	2249.0	-0.370116861436	6.0	0.0	0.0
CsuavA	ATG	M	Q	0.0	0.0337456232902	0.1	0.0161290322581	0.822580645161	1.0	0.0161290322581	2250.0	-0.360821214713	6.0	0.0	0.0
CjadiA	ATG	M	Q	0.0	0.0343832921076	0.1	0.015873015873	0.825396825397	1.0	0.015873015873	2250.0	-0.419316644114	6.0	0.0	0.0
CvartA	ATG	M	Q	0.0	0.0337456232902	0.0909090909091	0.015873015873	0.809523809524	1.0	0.015873015873	2250.0	-0.446715081912	6.0	0.0	0.0
CbuenA	ATG	M	Q	0.0	0.0369297619293	0.1	0.0161290322581	0.903225806452	1.0	0.0161290322581	2248.0	-0.289144403111	6.0	0.0	0.0
CdublA	ATG	M	Q	0.0	0.0337456232902	0.111111111111	0.0178571428571	0.910714285714	1.0	0.0178571428571	2058.0	-0.262724550898	6.0	0.0	0.0
CmaltA	ATG	M	Q	0.0	0.0350205401026	0.0909090909091	0.0172413793103	0.913793103448	1.0	0.0172413793103	2250.0	-0.260980966325	6.0	0.0	0.0
