### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
Schistosoma	CAT	H	D	0.0	0.529411764706	0.142857142857	0.0277777777778	0.861111111111	0.947368421053	0.0263157894737	1325.0	-0.848137535817	49.0	0.0	0.0
Fasciola	CAT	H	D	0.0	0.529411764706	0.285714285714	0.0540540540541	0.837837837838	0.948717948718	0.0512820512821	1332.0	-0.719860627178	49.0	0.0	0.0
Trichobilharzia_regenti	CAT	H	D	0.0	0.530303030303	0.142857142857	0.0285714285714	0.857142857143	0.945945945946	0.027027027027	1324.0	-0.881057268722	49.0	0.0	0.0
Versteria_mustelae	CAT	H	D	0.0	0.0267222656505	0.142857142857	0.025	0.8	1.0	0.025	1328.0	-0.872985170858	49.0	0.0	0.0
Daphnia	CAC	H	D	0.0	0.24	0.125	0.0416666666667	0.958333333333	0.48	0.02	1351.0	-0.837662337662	51.0	0.0	0.0
Haplorchis_taichui	CAT	H	D	0.0	0.573529411765	0.142857142857	0.030303030303	0.848484848485	0.825	0.025	1320.0	-0.913213448006	49.0	0.0	0.0
Echinococcus_equinus	CAT	H	D	0.0	0.530303030303	0.166666666667	0.0277777777778	0.833333333333	0.923076923077	0.025641025641	1331.0	-0.875268817204	49.0	0.0	0.0
Taenia_crassiceps	CAT	H	D	0.0	0.0267222656505	0.142857142857	0.025641025641	0.820512820513	0.975	0.025	1333.0	-0.873183619551	49.0	0.0	0.0
Katharina	CAT	H	D	0.0	0.591836734694	0.125	0.0243902439024	0.951219512195	0.803921568627	0.0196078431373	1348.0	-0.798340778558	49.0	0.0	0.0
Tetrancistrum_nebulosi	CAC	H	D	0.0	0.136363636364	0.166666666667	0.111111111111	0.888888888889	0.243243243243	0.027027027027	1333.0	-0.479885057471	51.0	0.0	0.0
Benedenia_hoshinai	CAT	H	D	0.0	0.558823529412	0.142857142857	0.0277777777778	0.805555555556	0.9	0.025	1333.0	-0.789964157706	49.0	0.0	0.0
