### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability
SpombA	CAT	H	P	0.0	0.6	0.2	0.0322580645161	0.870967741935	0.775	0.025	1424.0	-1.85225505443	49.0	0.0	0.0
WmucoA	CAT	H	P	0.0	0.571428571429	0.111111111111	0.0188679245283	0.88679245283	0.868852459016	0.016393442623	2246.0	-1.88210818308	49.0	0.0	0.0
CsantA	CAT	H	P	0.0	0.744920174165	0.25	0.047619047619	0.857142857143	0.724137931034	0.0344827586207	2220.0	-1.7165093136	49.0	0.0	0.0
CnorvA	CAT	H	P	0.0	0.0220638295193	0.111111111111	0.016393442623	0.901639344262	1.0	0.016393442623	2249.0	-1.91022571819	49.0	0.0	0.0
HuvarA	CAT	H	P	0.0	0.658536585366	0.2	0.0322580645161	0.870967741935	0.704545454545	0.0227272727273	1361.0	-1.85949131514	49.0	0.0	0.0
CsuavA	CAT	H	P	0.0	0.526785714286	0.111111111111	0.0175438596491	0.912280701754	0.934426229508	0.016393442623	2250.0	-1.90466605672	49.0	0.0	0.0
YlipoB	CAC	H	P	0.0	0.142857142857	0.142857142857	0.0588235294118	0.882352941176	0.28813559322	0.0169491525424	2247.0	-1.72452606635	51.0	0.0	0.0
YlipoA	CAC	H	P	0.0	0.142857142857	0.142857142857	0.0588235294118	0.882352941176	0.28813559322	0.0169491525424	2247.0	-1.72452606635	51.0	0.0	0.0
CjadiA	CAT	H	P	0.0	0.518181818182	0.111111111111	0.0175438596491	0.912280701754	0.95	0.0166666666667	2250.0	-1.90682318415	49.0	0.0	0.0
BcaliA	CAT	H	P	0.0	0.517857142857	0.111111111111	0.0166666666667	0.883333333333	0.967741935484	0.0161290322581	2250.0	-1.90514385353	49.0	0.0	0.0
CvartA	CAT	H	P	0.0	0.5625	0.111111111111	0.0188679245283	0.905660377358	0.868852459016	0.016393442623	2250.0	-1.89482040087	49.0	0.0	0.0
